thesis_category,sentence_count,Fear_Score,Anger_Score,Joy_Score,Sadness_Score,Disgust_Score,Surprise_Score,Neutral_Score
Border Enforcement & Policy,10941,0.08309474353277152,0.11425853096115408,0.01792977922818233,0.03181705379045015,0.09003063885328663,0.06336388725237149,0.5995053665466855
Crime & Security Narrative,7883,0.10877503894297039,0.15171175026460645,0.011562169916259583,0.043412944139567686,0.184508371680516,0.04986697180151394,0.45016275346486634
Economic & Social Impact,5280,0.04128444018084393,0.10512132682416643,0.021503342344542695,0.039991316059968085,0.11294283853973011,0.07112445226225783,0.6080322841900576
Humanitarian & Asylum System,8297,0.06386698318137407,0.10020764520024573,0.02660254597546033,0.04500881726972392,0.11554339594369117,0.06091302062972165,0.587857592410946
Identity & Assimilation,9245,0.04460403023013395,0.10194095183136052,0.043772678317210253,0.032616322112809654,0.13194651044370015,0.06854707827766261,0.5765724300037165
International Refugee Context,6539,0.10046146072045019,0.10623106686296908,0.03208807901063812,0.044391287053700726,0.12495475659003376,0.06616848647023733,0.5257048635539632
Partisan Politics & Elections,21878,0.05570524846919363,0.11046173457970909,0.019504805039405267,0.027586582482542706,0.13064934127893446,0.06513607802073561,0.5909562096928725
Viral Incidents & Culture War,6239,0.06564801601392349,0.13833964417714784,0.022367682959699677,0.030514114996725714,0.18005502093211653,0.0767890035926122,0.4862865170831489
