thesis_category,sentence_count,Fear_Score,Anger_Score,Joy_Score,Sadness_Score,Disgust_Score,Surprise_Score,Neutral_Score
Border Enforcement & Policy,116,0.03191185809254389,0.11368937469649545,0.0073574034628610865,0.03616421481650644,0.08704660206246351,0.0626310461766793,0.6611995045537258
Crime & Security Narrative,44,0.06561447962039066,0.13939075146547772,0.005269873418993401,0.05927070248501629,0.16559603181667626,0.0287897557427641,0.5360683990134434
Economic & Social Impact,45,0.035001973652591306,0.11568039219516019,0.03185592092599513,0.03872237364865012,0.15748247945836436,0.04957987314038392,0.5716769850916332
Humanitarian & Asylum System,65,0.03406364107325387,0.08957823043545851,0.03288398926200058,0.03171587026892946,0.10223855399884857,0.06025963662765347,0.6492600787431002
Identity & Assimilation,93,0.04172371661100256,0.05524157418528952,0.03342144951344498,0.03750807362338228,0.07677111718603359,0.05921395740131297,0.6961201254118193
International Refugee Context,15,0.07716425659600645,0.10356274843215943,0.021879911484817664,0.017097163460372638,0.19890766645160815,0.1349904525714616,0.4463977936034401
Partisan Politics & Elections,136,0.049964113950623223,0.06835439259884879,0.0312570041659295,0.026385025273638722,0.1436391694630455,0.04842731143820428,0.6319729876225156
Viral Incidents & Culture War,64,0.02050394420257362,0.14684947812565952,0.005873051914477401,0.03823131605895469,0.21781139341328526,0.09646659695135895,0.47426422595162876
