week,political_leaning,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2022-12-27,Conservative,0.06283596425782885,0.059022464032750535,0.035629589954623904,0.0051760552866783,0.658107562805526,0.09921895539654148,0.08000939897777108
2023-01-03,Conservative,0.13153224692782817,0.14426199947605664,0.03569321219537261,0.014972226643379117,0.5806420902846121,0.03073288462237114,0.06216533771539401
2023-01-10,Conservative,0.10092176500750928,0.12885579171003717,0.04091575206257398,0.016029776563542184,0.5949838076303632,0.02459848293969995,0.09369462159915817
2023-01-17,Conservative,0.07668562749555952,0.10492735788568679,0.07039465018194807,0.031537782274729836,0.5853901467521557,0.03660864039958482,0.0944557946393448
2023-01-24,Conservative,0.1124224983019909,0.13558133292729807,0.06240266547635349,0.011417576096088504,0.5455015639987929,0.03368389616856192,0.09899046548622811
2023-01-31,Conservative,0.13765025723332977,0.14829910251326572,0.03443594789419595,0.024452603717058888,0.5344781962770451,0.037539132374271936,0.08314475679149921
2023-02-07,Conservative,0.11522095297169424,0.13271350148300237,0.07112244510998214,0.029261397186062427,0.5323968045274905,0.03611311328131701,0.08317178764853102
2023-02-14,Conservative,0.09413699459266037,0.11131030159681686,0.04927401582591712,0.045500459623236206,0.5910284733091364,0.027301543983569113,0.08144821302459528
2023-02-21,Conservative,0.1147687351953801,0.17079613149317713,0.06422811670115126,0.02592922911910216,0.5490971771068871,0.025054371609828967,0.05012623338518812
2023-02-28,Conservative,0.09998469498780801,0.1141536428945184,0.06779486471758697,0.02259726192881689,0.5751935811713338,0.03186273440951476,0.08841322094099818
2023-03-07,Conservative,0.1420708997523461,0.16046104700327496,0.06742425421852558,0.029488247729067038,0.4801102308186025,0.0430516233424317,0.0773936945408808
2023-03-14,Conservative,0.17179938346557946,0.14567553491323743,0.08622619799156747,0.044246693507776054,0.4391255758986887,0.027506201453033348,0.0854204091937991
2023-03-21,Conservative,0.09604743053700691,0.1901853416880414,0.06119840398698328,0.02443693813055431,0.4978500432799263,0.055309460329961854,0.07497238784785715
2023-03-28,Conservative,0.0891059097522066,0.17628621488036328,0.061921153070165845,0.030039847836457998,0.4648872678351819,0.0320615106958622,0.14569809416537552
