month,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2016-01-01,0.08628091073062796,0.027636577475017698,0.026576550710680175,0.10983986151404672,0.7007182432072503,0.018482814343380043,0.030465028315250314
2016-02-01,0.05359539575874802,0.06747358515858645,0.01770636478904629,0.00711835753172631,0.7861745178699493,0.02614341888111079,0.041788357123732515
2016-03-01,0.17497062802625193,0.20339909823766594,0.10563551207693908,0.009938195658226755,0.49082388418416184,0.007698692552124407,0.007534003529387167
2016-04-01,0.05951792651432605,0.05013903833570929,0.023811766478632135,0.004146978386589047,0.782866969704628,0.013844001905194308,0.06567330095207403
2016-05-01,0.13775775962593875,0.2116016966968097,0.017402370693162007,0.009679366892669293,0.5943006242371418,0.018355876800011463,0.010902314055287663
2016-06-01,0.16569021074221754,0.14518926602162033,0.13564185554498867,0.01409580225751185,0.41750955057394656,0.051084724973469664,0.07078859625496609
2016-07-01,0.07768967776344368,0.04454890932314666,0.03223280250453028,0.0073674474305544385,0.7819171845912933,0.03010006918786807,0.02614392716294294
2016-08-01,0.1204224712855648,0.3039127797586843,0.06025295953149903,0.00275177165167401,0.3942643526941537,0.10196053273975847,0.01643512515584001
2016-09-01,0.06377361319027836,0.19604821729643096,0.08809172161537303,0.00460371405378361,0.5935751645910469,0.010949745636687304,0.04295781247889279
2016-10-01,0.020483428346259214,0.03225975608386627,0.14539430970658676,0.0037357205791132427,0.7711330235802701,0.0179254416642444,0.00906836174960643
2016-11-01,0.062008132373816055,0.13376793375630908,0.048560423041252666,0.02812071957956309,0.6748909601255467,0.01504305532006052,0.0376087935567882
2016-12-01,0.06321078049950297,0.05368573337909761,0.08796692591567982,0.0110640578786842,0.6962725158082321,0.021647906381986062,0.0661520938738249
2017-01-01,0.11838777305296895,0.13143591061969725,0.058287412596033164,0.005499381460188103,0.5898997286547041,0.055450619202466606,0.04103916941063571
2017-02-01,0.11797855527801135,0.12594340171541688,0.07169011727307231,0.019490535806347985,0.5688702771476597,0.0287846176046966,0.06724249436027423
2017-03-01,0.09684471845240153,0.11512091381925832,0.05770198277705685,0.022461119621553036,0.6102763629994673,0.027582176364806695,0.07001272646200066
2017-04-01,0.09114910488774584,0.12061553066912087,0.06835738323348711,0.028201654001427136,0.6101018396072027,0.029875425321555064,0.051699059111089796
2017-05-01,0.1143739523495537,0.1189448890588935,0.07436862923347787,0.030696873738857385,0.5669540737264719,0.022787983459504505,0.07187359601121379
2017-06-01,0.0642163430934827,0.086811169551046,0.05867883332991106,0.02463306546378042,0.6854989674644294,0.034568649898248385,0.045592975192842264
2017-07-01,0.08039406172808458,0.1563009459889934,0.09126015195317105,0.0355260403581593,0.5715508646631339,0.025626010981626587,0.03934192387369103
2017-08-01,0.11630482730184402,0.12871243775758293,0.0446299562017884,0.02944537514518478,0.5983972773452219,0.021413834636665036,0.061096291781593294
2017-09-01,0.08886936689311381,0.0939294124752785,0.05681134382042755,0.030182432811942085,0.6236598812689057,0.033589599391378074,0.07295796016587058
2017-10-01,0.10621730585262408,0.10770098878747372,0.045627565942413593,0.02054808631401097,0.6256525807635626,0.03772115250612837,0.05653231824180689
2017-11-01,0.08707434369418289,0.08517606920168659,0.08391658571453237,0.02963368758374152,0.6268737553051696,0.022411043795709185,0.06491451217518303
2017-12-01,0.08973008314057306,0.1021476412751493,0.055357374751593455,0.027782626024343983,0.6347113236765929,0.039709539085564786,0.050561411982183585
2018-01-01,0.09961309607869251,0.08198039859153496,0.0528499846303959,0.02948083466442658,0.6434131147730912,0.03182114509034874,0.06084142310530657
2018-02-01,0.0818942454349189,0.09060238433944034,0.036636751869344994,0.023219798338340952,0.6882047517818953,0.03424836647787088,0.04519370062125775
2018-03-01,0.10067250782219314,0.10454248260800335,0.06606529886547863,0.025133538035368337,0.6155769587022663,0.027656496036797717,0.060352715745408035
2018-04-01,0.1069918437581,0.11735743337768025,0.0695907345419293,0.02797455922605038,0.5906224143894929,0.029262571634202195,0.058200444388313545
2018-05-01,0.10164147905882566,0.15040280918493495,0.06208555437189491,0.022389979769250553,0.5591957422989103,0.03417159483107928,0.07011284169364859
