week,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2022-12-27,0.061925360794506314,0.06474444879898546,0.033899390613786023,0.024011001311796287,0.6629596364785086,0.07994163697711314,0.07251851673149877
2023-01-03,0.11981427402041689,0.13819669795735345,0.045865127844654394,0.01664550565557997,0.5884266426777268,0.03351642911463739,0.05753532047917997
2023-01-10,0.09201629241177776,0.1289280113473403,0.041281029607782134,0.017049186219542833,0.6254312712873129,0.027342422013960456,0.0679517830221916
2023-01-17,0.07395248857895942,0.09763530709056385,0.0656897572909171,0.030591087448669344,0.6140690451694859,0.034646725665467434,0.08341558456369154
2023-01-24,0.09084081741791952,0.12049269490006231,0.058382554584865055,0.018454182790162713,0.6023025898384876,0.026731180632860417,0.08279597566819143
2023-01-31,0.12561619127350415,0.14516305526163661,0.04253651075189686,0.034910420212387924,0.5487127753436752,0.03286690234261812,0.07019414227862066
2023-02-07,0.10773421406839039,0.12488961752504106,0.06140187643980603,0.024928571255644735,0.5745059902425855,0.036185161924920925,0.07035456950450311
2023-02-14,0.09586660042987201,0.10166728608014486,0.05058742771718474,0.05544075640570931,0.5969901407971198,0.02786945991336378,0.07157833158036675
2023-02-21,0.09509881031968125,0.13307880776865666,0.10035693421900173,0.027639227067247186,0.5549080165420981,0.03281509676778039,0.05610310407810637
2023-02-28,0.09679952423838481,0.10971030731193925,0.060196155967423656,0.023258328177164157,0.6129176756030776,0.026671409495692237,0.07044659989737229
2023-03-07,0.11167027445942075,0.139298354452812,0.06104776902865404,0.02939506225678557,0.5393362850996889,0.034799977183968274,0.08445227923138968
2023-03-14,0.13414281769447756,0.13351173890155868,0.0720316945416492,0.055699948790009154,0.5190640720095308,0.029190840521117718,0.056358892572461586
2023-03-21,0.07252481798002236,0.14733359622871772,0.05492175761130908,0.029475395732066163,0.5745658687137264,0.04157832678631126,0.07960023999376235
2023-03-28,0.0751054942682385,0.11987780630786433,0.0477824147646315,0.03524369747075247,0.5748357992994133,0.03363934890646483,0.11351543869031588
2023-04-04,0.10409761836620951,0.10838401900817293,0.07401499121537443,0.023432936327846304,0.5490228746615701,0.0503691498132454,0.09067841959544094
