month,political_leaning,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2017-02-01,Conservative,0.1302744654309633,0.12508882845437466,0.061593556229793116,0.018175390386098174,0.5658608411777426,0.026350319620778183,0.07265659884954859
2017-03-01,Conservative,0.09447342546136278,0.11228366529966208,0.055682260500376675,0.02292663965949455,0.612800780868103,0.026106439328834587,0.0757267887475352
2017-04-01,Conservative,0.09475677174942511,0.1254466602738694,0.06693116774663943,0.029271144653691118,0.5973167418922237,0.03159095899138822,0.05468655014671729
2017-05-01,Conservative,0.11177436687853617,0.12594679486396348,0.07318816231347096,0.027276238715709247,0.5680698381801851,0.020851719628499642,0.07289287682655154
2017-06-01,Conservative,0.06749863332245218,0.08644113323289497,0.05419172172642439,0.02659911565263251,0.6800274832043335,0.037388933789800835,0.04785298188370918
2017-07-01,Conservative,0.0869835541436061,0.17103390077631547,0.08839888023909886,0.030924789765578792,0.5637672226461075,0.02200034546428401,0.03689130853820071
2017-08-01,Conservative,0.1076674229460133,0.13505598673443517,0.03887213608642478,0.029946510330332875,0.5995009181475105,0.02294147399714508,0.06601555782033366
2017-09-01,Conservative,0.10830789142637509,0.11275924108234568,0.04160271604831156,0.0313306585065385,0.6114369384394112,0.04490294751753519,0.049659603856906084
2017-10-01,Conservative,0.08473725033121457,0.10181987691891098,0.052922223620314825,0.013605381409820877,0.6468226206488907,0.05009922680217134,0.049993415756963464
2017-11-01,Conservative,0.09442988930393499,0.07031542687334609,0.06021259519193002,0.013276182112272734,0.6420723323118368,0.02867074699157911,0.09102282047843983
2017-12-01,Conservative,0.10237966532617601,0.09512440933371881,0.035593179885197286,0.03396622315369047,0.6309199672494386,0.04844199392004857,0.05357455371392399
2018-01-01,Conservative,0.0998376025678211,0.0785203717796158,0.04700607471059193,0.038257375638931945,0.6452602405222209,0.03207980393170851,0.059038525467030506
2018-02-01,Conservative,0.07705077152532423,0.09327465653099783,0.026506604378045587,0.027666701628902963,0.692873357426125,0.038525951908442574,0.04410195380619569
2018-03-01,Conservative,0.10529005353323023,0.10438504305672168,0.06540300838635278,0.029228852547294428,0.622780693537064,0.02752802526536333,0.045384320967566866
2018-04-01,Conservative,0.11228766259662201,0.11047072232205175,0.060568999395059796,0.023951289827199306,0.6061639908971566,0.028179755798661128,0.05837757930407416
2018-05-01,Conservative,0.10397430657633805,0.1410427751284136,0.04484481985928987,0.022144645110274534,0.5684646289117982,0.03586321196823235,0.08366561393821535
2018-06-01,Conservative,0.11800753146043592,0.11829694888695291,0.05011307687065225,0.031152756156026636,0.5928866064993578,0.041384715458753565,0.048158359980299055
2018-07-01,Conservative,0.12209172064057462,0.12636317344114292,0.03818230007662236,0.019302153202465148,0.594008979679678,0.04193402509995252,0.058117650567102344
2018-08-01,Conservative,0.1186371699814924,0.14317349432974488,0.06494268706618093,0.015492056439955774,0.5461162650556795,0.042497314513762874,0.06914100757305446
2018-09-01,Conservative,0.16009091138996243,0.15437202969910338,0.07159948982435328,0.005940129107819086,0.5104873626309001,0.028289699132608967,0.0692203822095698
2018-10-01,Conservative,0.0910712605665606,0.10605723044844699,0.0755713036541553,0.021516182928747456,0.6186953336138621,0.02565151671512816,0.06143717091050042
2018-11-01,Conservative,0.15953455236740405,0.14541012422103644,0.07693349863674785,0.01742764647790416,0.5105894992305177,0.030309337913343084,0.05979534094297057
2018-12-01,Conservative,0.13927602967586397,0.12041419031430707,0.07153621076283515,0.02235054827553259,0.5421339620465728,0.04368153816035927,0.060607525802895454
2019-01-01,Conservative,0.12743383918761864,0.12431665851168372,0.06722428468415848,0.03788821179557333,0.5409911739233543,0.03986477892253205,0.06228105387735091
2019-02-01,Conservative,0.12519446808868012,0.14163135282834552,0.04031829600007707,0.017524108378709075,0.5868974878304751,0.031945856057058075,0.05648842998134763
2019-03-01,Conservative,0.10242439412812707,0.11225890613948801,0.06516796747767871,0.028621977892047318,0.6092241532155546,0.026891307108953086,0.055411291679066554
2019-04-01,Conservative,0.14295196548061118,0.11576088484048377,0.0861415046936651,0.024749032632145177,0.5239292239064123,0.0367846870350812,0.06968270065370817
2019-05-01,Conservative,0.11753264060550457,0.11118406205242883,0.07678243617957892,0.03218409341790087,0.5537593959966206,0.04317452572366781,0.06538284909357603
2019-06-01,Conservative,0.12795420250435105,0.1263000973077918,0.08652846828076564,0.021174448536870703,0.534218743496482,0.043653510584209534,0.060170531071486816
2019-07-01,Conservative,0.13962341241129625,0.13778724531248848,0.08332630481375507,0.024829190686984012,0.5169933685098107,0.04211858659342335,0.0553218909489439
2019-08-01,Conservative,0.1556248322395056,0.17295021440645442,0.06436095043855451,0.018075325343929693,0.49178125589782207,0.04208389758379714,0.05512352463241678
2019-09-01,Conservative,0.15328438833651456,0.14052234579740966,0.07269593036348702,0.04341136575644601,0.5014775107874105,0.030470890234347774,0.0581375693495185
2019-10-01,Conservative,0.12206855280452114,0.1537222456287093,0.05541975664480738,0.02499876392874594,0.5461134936144616,0.05701486983172349,0.0406623168952307
2019-11-01,Conservative,0.10381456727154863,0.09874980073418621,0.054011376916744853,0.03286976917843969,0.6073686437559995,0.03551540969000318,0.06767043362726664
2019-12-01,Conservative,0.08796563092199318,0.09572847228970557,0.07505893793785329,0.03902274757875583,0.605043465241057,0.03462723035930239,0.06255351416957483
