ID,podName,epNum,date,duration,title,guid,description
The-Dispatch-Podcast_273,The-Dispatch-Podcast,273,"Thu, 12 Jan 2023 19:24:53 -0000",4341,The Biden Files,ee27f9ca-77ad-4118-b792-82ea86a319ff,"[""Declan joins Sarah, David and Steve to break down President Biden’s classified documents scandal. The team then discusses McCarthy's backroom dealing, the proposed SANTOS act, and the riots in Brazil. Plus: An anatomically descriptive Worth Your Time(?) segment that made David deeply uncomfortable. Show Notes: The Dispatch: House GOP Moves to Messaging Bills and Investigations Proposed Bill Text: SANTOS Act\xa0 The Atlantic: Prince Harry’s Book Undermines the Very Idea of Monarchy \xa0  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_272,The-Dispatch-Podcast,272,"Thu, 05 Jan 2023 17:52:38 -0000",3825,Creatures of Capitol Hill,dfaa6c93-2d4a-454f-93bf-25a655ff01fd,"['As the House enters a third day of its parade of pettiness, Sarah, Steve, and Jonah discuss Kevin McCarthy’s slow, tortuous slug of concessions towards becoming a speaker in name only. Also on the agenda: Biden’s 2024 vision, Mayor Pete’s carpetbagging, and the online right’s grotesque response to Damar Hamlin’s cardiac arrest. Out of context: “That is a trifecta of wrongness.”  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_271,The-Dispatch-Podcast,271,"Tue, 03 Jan 2023 09:00:00 -0000",1749,Sen. Sasse's Exit Interview,c72d7250-2e53-44b8-9e72-feda8eeb192e,"[""Nebraska Sen. Ben Sasse will resign from Congress and take on a new role in February as President of the University of Florida. Sasse, a junior senator from Nebraska and member of the Republican party, has been a vocal critic of Trump's influence on the right and the GOP. He joins Steve Hayes to discuss the dangers of infotainment, the increasing tribalism of American politics, the future of academic freedom, and why he believes he can affect more change by leaving Congress. Show Notes: -The Dispatch Podcast: Ben Sasse on Afghanistan and Reflections on September 11 -The Remnant: Fighting for Lost Causes  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_270,The-Dispatch-Podcast,270,"Mon, 26 Dec 2022 08:00:00 -0000",1995,"Inflation, Recession and the Fed",1c558d32-8291-4410-a52e-9a9aeabf9e5f,"['Inflation has driven the cost of living to a record high and most recent reports are giving mixed signals about what to expect. Declan is joined by Desmond Lachman, a senior fellow at the American Enterprise Institute, to talk about interest-rate hikes and Lachman\'s critiques of the Fed in what he calls ""monetary policy overkill.""\xa0 Show Notes: -Desmond Lachman: “The Fed is playing with fire with its continued interest-rate hikes”\xa0 -CPI Index released on Dec. 13th -The CME FedWatch Tool mentioned by Declan -Desmond Lachman’s American Enterprise Institute profile  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_269,The-Dispatch-Podcast,269,"Fri, 23 Dec 2022 08:00:00 -0000",3881,The Year of the Exhausted Majority,5c717623-3e59-4884-9881-146df8bd0887,"['Sarah, Steve, Jonah, and David (who heroically dragged himself from bed at the crack of the Tennessee dawn) discuss some of the best and worst stories of 2022. What will make the list? The Russian invasion? The Artemis launch? Asteroid nudging? The Ye-Fuentes summit? The resurgence of COVID in China? The unveiling of Donald Trump’s NFT? Come for the review of a wild year, stay for the wild(?) predictions for 2023. Plus: a gut-check update on the Sarah-Steve bet. Show Notes: -The Morning Dispatch on Zelensky’s speech -Asteroid: nudged! -Jonah’s rant on the crazy and insane attempt to retire bad words  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_268,The-Dispatch-Podcast,268,"Thu, 22 Dec 2022 19:14:57 -0000",1900,Ripping Off the Band-Aid of Title 42,fc3ecde9-9a6a-4014-8b34-f881806d068e,"['""Title 42,"" the pandemic-era immigration restriction, was slated to expire December 21, until the Supreme Court stepped in. Now, the Biden administration and conservatives are in loggerheads on what to do next. Esther sits down with Aaron Reichlin-Melnick, the Policy Director at American Immigration Council to discuss the historical context behind Title 42, its impact on border crossings, and what we might expect if it goes away. Show Notes: -Aaron Reichlin-Melnick’s American Immigration Council (AIC) profile -AIC\'s Guide to Expulsions at the Border -Docket filings related to the Application for Emergency Stay \xa0  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_267,The-Dispatch-Podcast,267,"Thu, 15 Dec 2022 20:47:06 -0000",4324,Did Trump Cross the Mendoza Line?,62c25079-9507-4590-bbce-be03e8517143,"[""With new polls showing Donald Trump losing his grip on the Republican base, Sarah, David, and Steve debate the do's and don'ts of gauging Trump's political altitude. They also discuss Ron DeSantis' attempt to court the vax-skeptic voter, the recent COVID outbreaks in China, and what the implosion of Sam Bankman-Fried tells us about America's cult of the CEO. Plus: Should we be talking about MTG? Show Notes: -Josh Kraushaar on Trump's declining position  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_266,The-Dispatch-Podcast,266,"Thu, 08 Dec 2022 18:00:00 -0000",3985,Why Mitch Can't Have Nice Things,82b2ed70-414a-4652-99df-703837998750,"[""Will the aftermath of Herschel Walker's defeat in Georgia create a rare window for Republican introspection? And can the infotainment right be part of the solution? Sarah, David, Jonah and Steve also discuss what we know (and don’t know) about the Hunter Biden scandal, wonder what ever happened to the Electoral Count Reform Act, and catch up on what’s going on in the rest of the world. Show Notes: -The Twitter thread that caught Steve's eye  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_265,The-Dispatch-Podcast,265,"Fri, 02 Dec 2022 08:00:00 -0000",4461,What Should We Be Doing?,1afa8f70-fcbb-48cb-a916-01913bacbb89,"['Sarah, David, Jonah and –– believe it or not! –– Steve discuss whether and how the United States should support dissidents in China and Iran, ponder the poetic timing of the Fuentes dinner, and lament the intractability of America’s gun debate.   Also: why is it so difficult to enjoy America beating Iran in the World Cup (besides it being soccer)?  Also also: will David’s scotch-taped computer survive the whole hour? Listen and find out. Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_264,The-Dispatch-Podcast,264,"Wed, 30 Nov 2022 08:00:00 -0000",2123,The Desperate Despots Club,0e9b9972-0430-4199-9570-f09af2b09814,"[""With the war not going as smoothly as he might have hoped, Putin turns to Iran for help replenishing Russia's arsenal. Frederick W. Kagan, director of the Critical Threats Project at AEI, joins David to explain the nature of this alliance-of-convenience and where things could go from here.Show Notes: -Critical Threats: Ukraine Stream - Critical Threats: Iran Crisis Updates  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_263,The-Dispatch-Podcast,263,"Fri, 18 Nov 2022 08:00:00 -0000",3926,The DeSantis Dilemma,e3fd80ce-6d7d-413e-b7f7-2e61442c7210,"['With Donald Trump officially running for president, Ron DeSantis faces a twisted decision tree. Sarah, David, and Kevin are here to make sense of it. Plus: how should the U.S. respond to the deadly missile incident in Poland?\xa0  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_262,The-Dispatch-Podcast,262,"Fri, 11 Nov 2022 08:00:00 -0000",3906,All Bow to the God of Conventional Wisdom,362b828b-cc04-405e-b008-741c63f3bad1,"['Sarah, Jonah, and David come together to give the midterms a post-mortem to end all postmortems. They discuss the vibe theory of political trends, the presidential prospects of Republicans Not Named Donald Trump, and the lessons both parties took away from the elections. Oh, and of course: do all roads lead to Georgia..? Again??  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_261,The-Dispatch-Podcast,261,"Thu, 10 Nov 2022 08:00:00 -0000",2266,The Secret Mass Killer,0ca2cbc2-4348-4b78-9b95-40e15100a886,"['On today’s explainer, Declan is joined by RAND Corporation senior researcher David Luckey. A retired Marine Corps officer, David is now devoted to getting congressional attention to the thing that killed tens of thousands of Americans last year: fentanyl. David explains the scope of the overdose epidemic, its force multipliers, and the ways to fight it. Show Notes: -The Morning Dispatch on the Fentanyl Crisis  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_260,The-Dispatch-Podcast,260,"Sun, 06 Nov 2022 08:00:00 -0000",2167,"Bibi's Back, Baby",cf60d28a-0a62-4870-bbca-e482230a6e06,"[""With religion, political corruption, nationalism, and court reform on the ballot, Israel concluded this week its fifth election in three years. Tomer Persico, research fellow at the Shalom Hartman Institute, joins Adaam to offer a quick explainer about Benjamin Netanyahu's comeback, the rise of religious nationalism in Israel, and the universal language of populism.\xa0 Show Notes: -The Morning Dispatch on the Israeli election  Learn more about your ad choices. Visit megaphone.fm/adchoices""]"
The-Dispatch-Podcast_259,The-Dispatch-Podcast,259,"Fri, 04 Nov 2022 07:00:00 -0000",3913,"Your Midterms Questions, Answered",00a4f561-358d-417c-bc7d-a51408091cd5,"['With less than a week before the midterms, Sarah, David, and Jonah come together to answer your questions: Can voters push their parties to be better? What’s the best way to engage with your representatives? When is Nick Cattogio joining the pod? Plus: the panel reacts to Biden’s Democracy in Peril, Pt. 2 speech. Show Notes: -Sarah’s piece for POLITICO about the GOP’s election laws -Sarah, David, and Jonah’s report for the National Constitution Center  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_258,The-Dispatch-Podcast,258,"Fri, 28 Oct 2022 07:00:00 -0000",3838,Rise of the Vote Bots,5d3b3f4f-7a11-41d9-adb1-7fc379c4b018,"['What does the Fetterman-Oz debate reveal about the media? Will the isolationist horseshoe in Congress have an effect on Putin? And are we ready for Kevin’s theory of political cooties? Join Sarah, David, Steve, and Kevin as they embark on the penultimate round of midterms punditry. Show Notes: -The New York Times on the new campaign press aides -The Dispatch is coming to Chicago  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_257,The-Dispatch-Podcast,257,"Thu, 27 Oct 2022 07:00:00 -0000",1624,The 'Most Moderate' Republican in the Race,a9f467bd-3ea4-4443-b78f-ddd9532faf6b,"['Allan Fung was the mayor of Cranston, Rhode Island for over a decade. Now, he’s hoping to be the first Republican to represent the state in Congress in nearly 20 years. He joined Declan to talk about his “check in those party labels at the door” approach to politics, about the possible agenda of a Republican House, and whether Trump still sets the tone for the party. Show Notes: -Axios on Allan Fung\xa0  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
The-Dispatch-Podcast_256,The-Dispatch-Podcast,256,"Fri, 21 Oct 2022 07:00:00 -0000",2803,A Time and a Place for Pettiness,6629d1dc-2822-4e73-8b95-6c430f6f9bc4,"['In a compressed panel of election punditry, Sarah is joined by Kevin and Andrew to discuss Democrats’ preemptive blame game. They also try to wrestle with what it might mean for the country if abortion doesn’t play the big role in the midterms Democrats had hoped it would. Also: 2024… should we start talking about it?  Learn more about your ad choices. Visit megaphone.fm/adchoices']"
