thesis_category,political_leaning,sentence_count,Fear_Score,Anger_Score,Joy_Score,Sadness_Score,Disgust_Score,Surprise_Score,Neutral_Score
Border Enforcement & Policy,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Border Enforcement & Policy,Liberal,27,0.05661106068227026,0.11528544740199491,0.005812850770005888,0.019296505255624652,0.1323068711898048,0.020501960258654976,0.6501852929488652
Border Enforcement & Policy,Moderate,89,0.02441884157655949,0.11320517286449001,0.007825975628109293,0.041281385132729005,0.07331595861933748,0.07541178010686646,0.6645408945911554
Crime & Security Narrative,Conservative,1,0.005920149851590395,0.00846051424741745,0.007437633816152811,0.0037429509684443474,0.03532300516963005,0.00499975448474288,0.9341159462928772
Crime & Security Narrative,Liberal,15,0.024714673465738694,0.22433965417246024,0.002525539983374377,0.0721333432244137,0.22545997301737467,0.029306022776290776,0.4215207918236653
Crime & Security Narrative,Moderate,28,0.0896570304092685,0.09855849063023925,0.006662632031033614,0.05436313607164526,0.13817867141083948,0.029362827019732713,0.5832172047479877
Economic & Social Impact,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Economic & Social Impact,Liberal,28,0.05092928219320519,0.12518313130463607,0.022073845651383244,0.05567021978120985,0.19052156399785808,0.024090112631841163,0.5315318408289126
Economic & Social Impact,Moderate,17,0.008768759585697861,0.10002882189719993,0.04796757431947352,0.010808274136198795,0.10306516374625704,0.09156300809563082,0.6377983991714085
Humanitarian & Asylum System,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humanitarian & Asylum System,Liberal,23,0.03652711540622556,0.14829552463134346,0.02958113700910674,0.042323157930260764,0.16423096084643318,0.032812325364869575,0.5462297749422167
Humanitarian & Asylum System,Moderate,42,0.03271459560519794,0.05742352170914057,0.03469269406715674,0.02590711750200994,0.06829033120136176,0.07529030708108275,0.7056814355864411
Identity & Assimilation,Conservative,1,0.05479380115866661,0.02245800755918026,0.008747345767915249,0.0282345749437809,0.07352536171674728,0.027324644848704338,0.7849162817001343
Identity & Assimilation,Liberal,43,0.06906229472545863,0.03890973349578332,0.05248873214897981,0.03788860054513396,0.06823561407170843,0.06650003367428516,0.6669150042066048
Identity & Assimilation,Moderate,49,0.017465983070813273,0.07024265002763393,0.0171924893178844,0.037363396910000214,0.08432769656124316,0.053470856030186524,0.719936942871736
International Refugee Context,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International Refugee Context,Liberal,8,0.01904969132738188,0.15101146325469017,0.03606244389084168,0.013770334771834314,0.16893793281633407,0.04328045598231256,0.5678876565070823
International Refugee Context,Moderate,7,0.14358090261729167,0.04933564577783857,0.005671303020790219,0.02089925339013072,0.2331587906062071,0.23980187724477478,0.30755223599927767
Partisan Politics & Elections,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Partisan Politics & Elections,Liberal,69,0.07743666836725333,0.07200432175338484,0.024332068983694888,0.027655403052146237,0.16242474229648654,0.03261487639468649,0.6035319161533877
Partisan Politics & Elections,Moderate,67,0.021671483282750443,0.06459551033522211,0.03838865383121588,0.02507672577039964,0.12429283326144205,0.06471175946809574,0.6612630462996772
Viral Incidents & Culture War,Conservative,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viral Incidents & Culture War,Liberal,42,0.023074543474996018,0.17467598189111977,0.004702443279841516,0.030371365392403232,0.2779020825123769,0.10567070748324373,0.38360288337848725
Viral Incidents & Culture War,Moderate,22,0.015596436500676315,0.09372615275523541,0.00810785021696409,0.05323667642237111,0.10309280513320118,0.07889511320866983,0.6473449708639898
